New best MSE (sub): 0.2576 (kernel: 11, sigma: 3.30)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.40)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.40)
New best SSIM (sub): 0.1660 (kernel: 11, sigma: 3.40)
New best MSE (sub): 0.2576 (kernel: 11, sigma: 3.40)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.50)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.50)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 3.50)
New best MSE (sub): 0.2576 (kernel: 11, sigma: 3.50)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.60)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.60)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 3.60)
New best MSE (sub): 0.2576 (kernel: 11, sigma: 3.60)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.70)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.70)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 3.70)
New best MSE (sub): 0.2576 (kernel: 11, sigma: 3.70)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.80)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.80)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 3.80)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 3.80)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.90)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.90)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 3.90)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 3.90)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.00)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.00)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.00)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.00)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.10)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.10)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.10)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.10)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.20)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.20)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.20)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.20)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.30)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.30)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.30)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.30)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.40)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.40)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.40)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.40)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.50)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.50)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.50)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.50)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.60)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.60)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.60)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.60)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.70)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.70)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.70)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.70)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.80)
New best MSE (div): 0.3652 (kernel: 11, sigma: 4.80)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.80)
New best MSE (sub): 0.2575 (kernel: 11, sigma: 4.80)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 4.90)
New best MSE (div): 0.3653 (kernel: 11, sigma: 4.90)
New best SSIM (sub): 0.1661 (kernel: 11, sigma: 4.90)
New best MSE (sub): 0.2574 (kernel: 11, sigma: 4.90)
New best SSIM (div): 0.0677 (kernel: 13, sigma: 0.10)
New best MSE (div): 0.3435 (kernel: 13, sigma: 0.10)
New best SSIM (sub): 0.0774 (kernel: 13, sigma: 0.10)
New best MSE (sub): 0.3423 (kernel: 13, sigma: 0.10)
New best SSIM (div): 0.0593 (kernel: 13, sigma: 0.20)
New best MSE (div): 0.3627 (kernel: 13, sigma: 0.20)
New best SSIM (sub): 0.1141 (kernel: 13, sigma: 0.20)
New best MSE (sub): 0.3139 (kernel: 13, sigma: 0.20)
New best SSIM (div): 0.0596 (kernel: 13, sigma: 0.30)
New best MSE (div): 0.3663 (kernel: 13, sigma: 0.30)
New best SSIM (sub): 0.1560 (kernel: 13, sigma: 0.30)
New best MSE (sub): 0.2716 (kernel: 13, sigma: 0.30)
New best SSIM (div): 0.0615 (kernel: 13, sigma: 0.40)
New best MSE (div): 0.3637 (kernel: 13, sigma: 0.40)
New best SSIM (sub): 0.1598 (kernel: 13, sigma: 0.40)
New best MSE (sub): 0.2668 (kernel: 13, sigma: 0.40)
New best SSIM (div): 0.0626 (kernel: 13, sigma: 0.50)
New best MSE (div): 0.3616 (kernel: 13, sigma: 0.50)
New best SSIM (sub): 0.1621 (kernel: 13, sigma: 0.50)
New best MSE (sub): 0.2641 (kernel: 13, sigma: 0.50)
New best SSIM (div): 0.0630 (kernel: 13, sigma: 0.60)
New best MSE (div): 0.3611 (kernel: 13, sigma: 0.60)
New best SSIM (sub): 0.1636 (kernel: 13, sigma: 0.60)
New best MSE (sub): 0.2621 (kernel: 13, sigma: 0.60)
New best SSIM (div): 0.0630 (kernel: 13, sigma: 0.70)
New best MSE (div): 0.3609 (kernel: 13, sigma: 0.70)
New best SSIM (sub): 0.1652 (kernel: 13, sigma: 0.70)
New best MSE (sub): 0.2594 (kernel: 13, sigma: 0.70)
New best SSIM (div): 0.0630 (kernel: 13, sigma: 0.80)
New best MSE (div): 0.3610 (kernel: 13, sigma: 0.80)
New best SSIM (sub): 0.1662 (kernel: 13, sigma: 0.80)
New best MSE (sub): 0.2578 (kernel: 13, sigma: 0.80)
New best SSIM (div): 0.0630 (kernel: 13, sigma: 0.90)
New best MSE (div): 0.3610 (kernel: 13, sigma: 0.90)
New best SSIM (sub): 0.1669 (kernel: 13, sigma: 0.90)
New best MSE (sub): 0.2567 (kernel: 13, sigma: 0.90)
New best SSIM (div): 0.0630 (kernel: 13, sigma: 1.00)
New best MSE (div): 0.3611 (kernel: 13, sigma: 1.00)
New best SSIM (sub): 0.1673 (kernel: 13, sigma: 1.00)
New best MSE (sub): 0.2560 (kernel: 13, sigma: 1.00)
New best SSIM (div): 0.0630 (kernel: 13, sigma: 1.10)
New best MSE (div): 0.3611 (kernel: 13, sigma: 1.10)
New best SSIM (sub): 0.1676 (kernel: 13, sigma: 1.10)
New best MSE (sub): 0.2554 (kernel: 13, sigma: 1.10)
New best SSIM (div): 0.0629 (kernel: 13, sigma: 1.20)
New best MSE (div): 0.3612 (kernel: 13, sigma: 1.20)
New best SSIM (sub): 0.1679 (kernel: 13, sigma: 1.20)
New best MSE (sub): 0.2550 (kernel: 13, sigma: 1.20)
New best SSIM (div): 0.0629 (kernel: 13, sigma: 1.30)
New best MSE (div): 0.3612 (kernel: 13, sigma: 1.30)
New best SSIM (sub): 0.1680 (kernel: 13, sigma: 1.30)
New best MSE (sub): 0.2547 (kernel: 13, sigma: 1.30)
New best SSIM (div): 0.0629 (kernel: 13, sigma: 1.40)
New best MSE (div): 0.3612 (kernel: 13, sigma: 1.40)
New best SSIM (sub): 0.1682 (kernel: 13, sigma: 1.40)
New best MSE (sub): 0.2545 (kernel: 13, sigma: 1.40)
New best SSIM (div): 0.0629 (kernel: 13, sigma: 1.50)
New best MSE (div): 0.3613 (kernel: 13, sigma: 1.50)
New best SSIM (sub): 0.1683 (kernel: 13, sigma: 1.50)
New best MSE (sub): 0.2543 (kernel: 13, sigma: 1.50)
New best SSIM (div): 0.0629 (kernel: 13, sigma: 1.60)
New best MSE (div): 0.3613 (kernel: 13, sigma: 1.60)
New best SSIM (sub): 0.1684 (kernel: 13, sigma: 1.60)
New best MSE (sub): 0.2542 (kernel: 13, sigma: 1.60)
New best SSIM (div): 0.0629 (kernel: 13, sigma: 1.70)
New best MSE (div): 0.3613 (kernel: 13, sigma: 1.70)
New best SSIM (sub): 0.1685 (kernel: 13, sigma: 1.70)
New best MSE (sub): 0.2540 (kernel: 13, sigma: 1.70)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 1.80)
New best MSE (div): 0.3613 (kernel: 13, sigma: 1.80)
New best SSIM (sub): 0.1685 (kernel: 13, sigma: 1.80)
New best MSE (sub): 0.2539 (kernel: 13, sigma: 1.80)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 1.90)
New best MSE (div): 0.3613 (kernel: 13, sigma: 1.90)
New best SSIM (sub): 0.1686 (kernel: 13, sigma: 1.90)
New best MSE (sub): 0.2538 (kernel: 13, sigma: 1.90)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.00)
New best MSE (div): 0.3613 (kernel: 13, sigma: 2.00)
New best SSIM (sub): 0.1686 (kernel: 13, sigma: 2.00)
New best MSE (sub): 0.2538 (kernel: 13, sigma: 2.00)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.10)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.10)
New best SSIM (sub): 0.1687 (kernel: 13, sigma: 2.10)
